# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
1.262192726135253906e-01 2.424764705882353155e+01 -4.486733911132811947e+00 -7.381323718261718625e+00 3.253720056152343609e+00 -2.044677734375000000e+00 -1.220703125000000000e+00 5.493164062500000000e-01
3.134243488311767578e-01 2.429470588235294315e+01 -4.539406347656250063e+00 -7.378929516601561822e+00 3.392583752441406197e+00 -1.861572265625000000e+00 -1.190185546875000000e+00 4.882812500000000000e-01
5.713691711425781250e-01 2.438882352941176634e+01 -4.465186096191406051e+00 -7.541735229492187109e+00 3.373430139160156216e+00 -1.831054687500000000e+00 -1.617431640625000000e+00 3.356933593750000000e-01
7.322604656219482422e-01 2.429470588235294315e+01 -4.551377355957031412e+00 -7.656656909179686998e+00 3.552995263671874682e+00 -2.136230468750000000e+00 -1.098632812500000000e+00 4.882812500000000000e-01
9.007444381713867188e-01 2.514176470588235190e+01 -4.582501977539061855e+00 -7.522581616210937128e+00 3.380612744140624848e+00 -1.678466796875000000e+00 -1.068115234375000000e+00 3.051757812500000000e-01
1.079648494720458984e+00 2.518882352941176350e+01 -4.352658618164062077e+00 -7.654262707519531084e+00 3.430890979003906160e+00 -1.678466796875000000e+00 -1.586914062500000000e+00 3.662109375000000000e-01
1.245853185653686523e+00 2.443588235294117794e+01 -4.532223742675780542e+00 -7.635109094238281102e+00 3.330334509277343535e+00 -6.896972656250000000e+00 -1.708984375000000000e+00 -2.136230468750000000e-01
1.412221431732177734e+00 2.518882352941176350e+01 -4.560954162597655959e+00 -7.594407666015624336e+00 3.519476440429687436e+00 -2.563476562500000000e+00 -8.544921875000000000e-01 2.441406250000000000e-01
1.576893568038940430e+00 2.457705882352941273e+01 -4.544194750976561892e+00 -7.376535314941405908e+00 3.306392492675780836e+00 -2.410888671875000000e+00 -1.220703125000000000e+00 3.356933593750000000e-01
1.747717857360839844e+00 2.373000000000000043e+01 -4.493916516113280579e+00 -7.642291699218749734e+00 3.462015600585937491e+00 -2.563476562500000000e+00 -1.007080078125000000e+00 4.577636718750000000e-01
1.913000822067260742e+00 2.453000000000000114e+01 -4.481945507812500118e+00 -7.553706237792968459e+00 3.521870642089843351e+00 -2.075195312500000000e+00 -6.103515625000000000e-01 7.324218750000000000e-01
2.079528808593750000e+00 2.448294117647058954e+01 -4.460397692871093334e+00 -7.510610607910155778e+00 3.418919970703124811e+00 -2.624511718750000000e+00 -8.544921875000000000e-01 4.577636718750000000e-01
2.244718551635742188e+00 2.462411764705882433e+01 -4.462791894531250136e+00 -7.637503295898437017e+00 3.296815686035155846e+00 -1.892089843750000000e+00 -8.544921875000000000e-01 3.662109375000000000e-01
2.401322603225708008e+00 2.457705882352941273e+01 -4.489128112792968750e+00 -7.546523632812499827e+00 3.359064929199218508e+00 -2.105712890625000000e+00 -1.007080078125000000e+00 3.662109375000000000e-01
2.563442945480346680e+00 2.453000000000000114e+01 -4.374206433105468861e+00 -7.987056738281249402e+00 3.936067529296874756e+00 1.441955566406250000e+02 -8.554077148437500000e+01 3.787231445312500000e+01
2.721338272094726562e+00 2.457705882352941273e+01 -4.003105175781249692e+00 -6.849810949707030971e+00 4.965574243164062374e+00 3.329772949218750000e+02 -2.401733398437500000e+01 -3.863525390625000000e+01
2.882282257080078125e+00 2.453000000000000114e+01 -5.770026000976562486e-01 -6.890512377929686849e+00 4.424484667968750173e+00 5.364990234375000000e+01 -6.677246093750000000e+01 -2.327575683593750000e+02
