

New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
218	218	218	1000
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
Conf Change7	7	7	500
1799	1799	1799	1799	1799	1799	1799
-35	-35	-35	-35	-35	-35	-35
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
Conf Change7	7	7	250
1799	1799	1799	1799	1799	1799	1799
-35	-35	-35	-35	-35	-35	-35
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
Conf Change7	7	7	125
1799	1799	1799	1799	1799	1799	1799
-35	-35	-35	-35	-35	-35	-35
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38
-38	-38	-38	-38	-38	-38	-38


New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
218	218	218	1000
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
-9510	-9510	-9510	-9510	-9510	-9510	-9510
