# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
3.737449645996093750e-02 2.716529411764705770e+01 -3.052607116699218359e+00 6.200982299804687070e-01 9.622296472167967352e+00 -1.922607421875000000e+00 9.277343750000000000e+00 2.716064453125000000e+00
1.756956577301025391e-01 2.707117647058823451e+01 -2.932897033691406197e+00 6.584054565429686701e-01 9.430760339355467536e+00 -1.892089843750000000e+00 2.380371093750000000e+00 3.234863281250000000e+00
4.072706699371337891e-01 2.711823529411764611e+01 -3.021482495117187472e+00 7.613561279296874318e-01 9.536105212402343767e+00 -2.197265625000000000e+00 9.460449218750000000e-01 3.021240234375000000e+00
4.937453269958496094e-01 2.716529411764705770e+01 -2.973598461914062518e+00 6.967126831054687441e-01 9.433154541015625227e+00 -9.460449218750000000e-01 4.760742187500000000e+00 2.716064453125000000e+00
5.929453372955322266e-01 2.721235294117646930e+01 -3.004723083496093405e+00 6.488286499023436793e-01 9.361328491210937131e+00 -1.098632812500000000e+00 1.312255859375000000e+00 3.265380859375000000e+00
6.928672790527343750e-01 2.711823529411764611e+01 -2.954444848632812537e+00 7.565677246093749364e-01 9.399635717773437094e+00 -4.425048828125000000e+00 4.333496093750000000e+00 2.838134765625000000e+00
8.370146751403808594e-01 2.725941176470588090e+01 -2.952050646972656178e+00 6.320692382812499455e-01 9.445125549316406577e+00 -1.953125000000000000e+00 -1.098632812500000000e+00 4.455566406250000000e+00
9.880852699279785156e-01 2.730647058823529605e+01 -2.894589807128906234e+00 6.177040283203124593e-01 9.636661682128906392e+00 -1.251220703125000000e+00 -7.812500000000000000e+00 2.349853515625000000e+00
1.106325864791870117e+00 2.725941176470588090e+01 -3.007117285156249764e+00 6.607996582031249178e-01 9.545682019042967426e+00 -1.831054687500000000e-01 3.601074218750000000e+00 2.685546875000000000e+00
1.246716260910034180e+00 2.730647058823529605e+01 -2.961627453613281169e+00 4.788403320312499822e-01 9.634267480468748701e+00 -8.239746093750000000e-01 1.058959960937500000e+01 1.770019531250000000e+00
1.359358787536621094e+00 2.730647058823529605e+01 -3.201047619628905938e+00 7.613561279296874318e-01 9.646238488769530051e+00 9.765625000000000000e-01 9.826660156250000000e+00 1.495361328125000000e+00
1.458865880966186523e+00 2.735352941176470765e+01 -2.916137622070312130e+00 6.392518432617186885e-01 9.349357482910155781e+00 -9.155273437500000000e-02 6.317138671875000000e+00 2.746582031250000000e-01
1.544363975524902344e+00 2.721235294117646930e+01 -3.069366528320312426e+00 6.272808349609374501e-01 9.562441430664062381e+00 -4.577636718750000000e+00 9.948730468750000000e+00 2.716064453125000000e+00
1.656996726989746094e+00 2.725941176470588090e+01 -3.110067956542968748e+00 6.272808349609374501e-01 9.445125549316406577e+00 -3.417968750000000000e+00 4.821777343750000000e+00 3.448486328125000000e+00
1.762160301208496094e+00 2.730647058823529605e+01 -3.114856359863281021e+00 4.620809204101562484e-01 9.409212524414062528e+00 2.990722656250000000e+00 7.476806640625000000e+00 4.180908203125000000e+00
1.861129522323608398e+00 2.730647058823529605e+01 -3.155557788085937343e+00 6.895300781250000011e-01 9.478644372558592934e+00 7.598876953125000000e+00 1.464843750000000000e+00 2.044677734375000000e+00
1.954796791076660156e+00 2.721235294117646930e+01 -3.174711401367187324e+00 4.764461303710937345e-01 9.775525378417968980e+00 -6.622314453125000000e+00 1.354980468750000000e+01 2.441406250000000000e-01
2.062537193298339844e+00 2.725941176470588090e+01 -3.043030310058593368e+00 5.817910034179687440e-01 9.545682019042967426e+00 -7.629394531250000000e-01 2.490234375000000000e+01 -3.173828125000000000e+00
2.469462871551513672e+00 2.730647058823529605e+01 -3.914519714355468416e+00 -1.915361328124999818e-01 9.871293444824218000e+00 8.856201171875000000e+01 -3.356933593750000000e+01 -5.676269531250000000e+00
2.601725101470947266e+00 2.735352941176470765e+01 -2.983175268554687509e+00 -1.307234106445312349e+00 8.518569506835936167e+00 4.589843750000000000e+01 -4.980468750000000000e+01 -7.019042968750000000e-01
2.720272064208984375e+00 2.730647058823529605e+01 -1.731007800292968746e+00 -5.650315917968750101e-01 9.042899670410156077e+00 -3.253173828125000000e+01 -1.203308105468750000e+02 -7.937622070312500000e+01
2.839138746261596680e+00 2.730647058823529605e+01 -1.225831249999999928e+00 -1.398213769531249984e+00 9.291896643066404948e+00 -9.530639648437500000e+01 -3.265380859375000000e+01 -5.068969726562500000e+01
2.961553335189819336e+00 2.730647058823529605e+01 -1.024718310546874900e+00 -2.097320654296874753e+00 9.545682019042967426e+00 5.465698242187500000e+01 -7.028198242187500000e+01 -4.174804687500000000e+01
3.086875438690185547e+00 2.740058823529411924e+01 -1.125274780273437386e-01 -1.824381665039062295e+00 1.082657990722656116e+01 2.827148437500000000e+02 -1.866149902343750000e+02 2.209472656250000000e+01
3.216474771499633789e+00 2.740058823529411924e+01 -4.924872814941405608e+00 -8.145074047851561971e+00 1.726219396972656250e+00 -1.327819824218750000e+02 -5.294189453125000000e+02 -2.324218750000000000e+02
3.346690654754638672e+00 2.730647058823529605e+01 2.643198632812499671e+00 -1.323993518066406194e+00 -7.194575988769530639e+00 -2.123718261718750000e+02 -3.473205566406250000e+02 -1.640930175781250000e+02
3.479319095611572266e+00 2.730647058823529605e+01 8.508992700195312509e+00 1.642422338867187470e+00 -6.663063220214842985e+00 3.961181640625000000e+01 -1.726684570312500000e+02 3.314208984375000000e+01
3.607623577117919922e+00 2.730647058823529605e+01 8.508992700195312509e+00 -3.567360473632812390e-01 -7.620743884277342950e+00 -3.051757812500000000e-02 -1.552429199218750000e+02 3.216552734375000000e+01
3.755716562271118164e+00 2.730647058823529605e+01 8.394071020507812619e+00 5.339069702148436791e-01 -6.198588098144530711e+00 -3.488159179687500000e+01 7.760620117187500000e+01 -4.272460937500000000e+00
3.891639471054077148e+00 2.725941176470588090e+01 9.694122521972655449e+00 1.084573352050781203e+00 -8.403647827148437166e-01 -3.448486328125000000e+00 -1.677246093750000000e+02 1.760864257812500000e+01
