# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
3.175282478332519531e-02 3.248294117647058954e+01 -2.944868041992187435e-01 -1.244984863281249909e-01 9.105148913574218739e+00 -2.136230468750000000e+00 -6.408691406250000000e-01 2.532958984375000000e+00
1.480007171630859375e-01 3.262411764705882433e+01 -3.734954589843749728e-01 -3.112462158203124774e-02 9.076418493652342434e+00 -1.678466796875000000e+00 -1.495361328125000000e+00 2.624511718750000000e+00
3.425319194793701172e-01 3.262411764705882433e+01 -1.795651245117187433e-01 -1.747767211914062480e-01 8.997409838867186593e+00 -2.288818359375000000e+00 -7.629394531250000000e+00 2.777099609375000000e+00
4.266192913055419922e-01 3.271823529411764753e+01 -1.891419311523437341e-01 -2.896984008789062481e-01 9.088389501953123784e+00 -1.983642578125000000e+00 -7.629394531250000000e-01 3.082275390625000000e+00
5.142292976379394531e-01 3.267117647058823593e+01 -1.197100830078124886e-02 -1.436520996093750002e-02 9.306261853027343989e+00 -2.502441406250000000e+00 5.798339843750000000e-01 2.746582031250000000e+00
5.895771980285644531e-01 3.267117647058823593e+01 -1.723825195312500003e-01 -2.561795776367187250e-01 9.124302526855467832e+00 -2.105712890625000000e+00 3.356933593750000000e-01 2.593994140625000000e+00
6.676781177520751953e-01 3.267117647058823593e+01 -1.580173095703124864e-01 -2.154781494140624865e-01 9.145850341796874616e+00 -2.563476562500000000e+00 4.577636718750000000e-01 2.563476562500000000e+00
7.388603687286376953e-01 3.271823529411764753e+01 -2.992752075195312389e-01 -3.064578124999999820e-01 9.136273535156249181e+00 -2.014160156250000000e+00 -7.354736328125000000e+00 2.746582031250000000e+00
8.256602287292480469e-01 3.271823529411764753e+01 -2.968810058593749912e-01 -1.484405029296874956e-01 9.148244543457030531e+00 -2.136230468750000000e+00 -6.103515625000000000e-01 3.173828125000000000e+00
9.087996482849121094e-01 3.201235294117647356e+01 -2.944868041992187435e-01 -1.675941162109374771e-02 9.095572106933593304e+00 -2.990722656250000000e+00 7.659912109375000000e+00 2.838134765625000000e+00
9.819951057434082031e-01 3.276529411764705912e+01 -1.580173095703124864e-01 -1.221042846679687432e-01 9.253589416503904985e+00 -2.777099609375000000e+00 4.882812500000000000e-01 2.380371093750000000e+00
1.056931972503662109e+00 3.347117647058823309e+01 -1.244984863281249909e-01 -1.891419311523437341e-01 9.102754711914062824e+00 -2.014160156250000000e+00 -6.713867187500000000e-01 2.624511718750000000e+00
1.146605253219604492e+00 3.201235294117647356e+01 -1.388636962890625048e-01 -1.292868896484374863e-01 9.143456140136718702e+00 -2.288818359375000000e+00 -3.051757812500000000e-01 2.227783203125000000e+00
1.221445798873901367e+00 3.205941176470588516e+01 -2.394201660156249772e-02 -2.729389892578124588e-01 9.181763366699218665e+00 -1.953125000000000000e+00 7.720947265625000000e+00 2.502441406250000000e+00
1.291120767593383789e+00 3.347117647058823309e+01 -2.394201660156249772e-02 -1.556231079101562387e-01 9.143456140136718702e+00 -2.685546875000000000e+00 1.220703125000000000e-01 2.502441406250000000e+00
1.367476224899291992e+00 3.281235294117647072e+01 -1.628057128906249817e-01 -1.268926879882812386e-01 9.153032946777342360e+00 -2.105712890625000000e+00 -3.051757812500000000e-01 2.746582031250000000e+00
1.446838855743408203e+00 3.276529411764705912e+01 -1.867477294921874864e-01 -2.801215942382812574e-01 9.119514123535156003e+00 -2.349853515625000000e+00 -1.525878906250000000e-01 2.075195312500000000e+00
1.534166097640991211e+00 3.285941176470588232e+01 -1.675941162109374771e-02 -1.460463012695312479e-01 9.157821350097655966e+00 -2.410888671875000000e+00 3.051757812500000000e-02 1.953125000000000000e+00
