# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
2.953052520751953125e-02 3.022411764705882575e+01 3.974374755859374497e-01 -2.633621826171874888e-02 9.236830004882811807e+00 -2.227783203125000000e+00 -3.662109375000000000e-01 3.387451171875000000e+00
1.307861804962158203e-01 3.022411764705882575e+01 3.232172241210937158e-01 -1.101332763671874909e-01 9.311050256347655818e+00 -2.197265625000000000e+00 -9.460449218750000000e-01 2.868652343750000000e+00
3.171691894531250000e-01 3.031823529411764895e+01 4.381389038085937160e-01 -5.985504150390624778e-02 9.299079248046874469e+00 -2.014160156250000000e+00 -7.324218750000000000e-01 3.051757812500000000e+00
4.030373096466064453e-01 3.041235294117647214e+01 3.830722656249999636e-01 -5.027823486328125008e-02 9.301473449707030383e+00 -2.197265625000000000e+00 -4.272460937500000000e-01 2.716064453125000000e+00
4.862825870513916016e-01 3.041235294117647214e+01 4.405331054687499637e-01 -2.873041992187500004e-02 9.267954626464844026e+00 -1.983642578125000000e+00 -1.007080078125000000e+00 2.929687500000000000e+00
5.576064586639404297e-01 3.031823529411764895e+01 3.423708374023437528e-01 -5.746083984375000009e-02 9.200916979980467758e+00 -2.288818359375000000e+00 -4.272460937500000000e-01 2.838134765625000000e+00
6.330509185791015625e-01 3.036529411764706055e+01 3.639186523437499821e-01 -1.484405029296874956e-01 9.244012609863281327e+00 -2.197265625000000000e+00 -1.037597656250000000e+00 2.960205078125000000e+00
7.178671360015869141e-01 3.036529411764706055e+01 3.639186523437499821e-01 -7.661445312499999549e-02 9.258377819824218591e+00 -2.227783203125000000e+00 -9.765625000000000000e-01 2.807617187500000000e+00
8.026170730590820312e-01 3.041235294117647214e+01 3.351882324218749543e-01 -9.816226806640623859e-02 9.339780676269530346e+00 -2.349853515625000000e+00 -6.103515625000000000e-01 3.051757812500000000e+00
8.791229724884033203e-01 2.975352941176470623e+01 3.399766357421875052e-01 -7.182604980468750011e-02 9.284714038085937204e+00 -2.410888671875000000e+00 -7.019042968750000000e-01 2.838134765625000000e+00
9.484059810638427734e-01 3.036529411764706055e+01 3.734954589843749728e-01 -6.464344482421874316e-02 9.320627062988281253e+00 -2.380371093750000000e+00 -8.850097656250000000e-01 2.990722656250000000e+00
1.019021272659301758e+00 2.975352941176470623e+01 3.303998291015624589e-01 -8.379705810546873856e-02 9.167398156738281401e+00 -2.502441406250000000e+00 -9.155273437500000000e-01 3.112792968750000000e+00
1.085190296173095703e+00 3.045941176470588374e+01 1.891419311523437341e-01 -9.816226806640623859e-02 9.215282189941405022e+00 -2.136230468750000000e+00 -1.251220703125000000e+00 3.112792968750000000e+00
1.152115106582641602e+00 3.041235294117647214e+01 4.501099121093749544e-01 -9.816226806640623859e-02 9.107543115234374653e+00 -2.288818359375000000e+00 -6.103515625000000000e-01 2.960205078125000000e+00
1.232845067977905273e+00 3.055352941176470694e+01 4.141968872070312391e-01 -3.351882324218749543e-02 9.224858996582030457e+00 -2.655029296875000000e+00 -7.629394531250000000e-01 3.082275390625000000e+00
1.303396224975585938e+00 2.975352941176470623e+01 4.189852905273437345e-01 -6.224924316406249547e-02 9.241618408203123636e+00 -2.105712890625000000e+00 -9.460449218750000000e-01 2.716064453125000000e+00
1.379964828491210938e+00 3.041235294117647214e+01 3.112462158203124774e-01 -9.816226806640623859e-02 9.260772021484374505e+00 -2.502441406250000000e+00 -7.629394531250000000e-01 2.868652343750000000e+00
1.453690052032470703e+00 3.116529411764706126e+01 4.979939453124999638e-01 -1.221042846679687432e-01 9.299079248046874469e+00 -1.953125000000000000e+00 -5.187988281250000000e-01 3.051757812500000000e+00
1.528367042541503906e+00 2.984764705882352942e+01 4.141968872070312391e-01 -8.619125976562500013e-02 9.076418493652342434e+00 -2.136230468750000000e+00 -9.155273437500000000e-01 2.807617187500000000e+00
1.602406024932861328e+00 2.975352941176470623e+01 3.495534423828124959e-01 -1.244984863281249909e-01 9.126696728515623747e+00 -2.410888671875000000e+00 -3.051757812500000000e-02 2.838134765625000000e+00
1.679125308990478516e+00 3.050647058823529534e+01 4.213794921874999821e-01 -6.703764648437499085e-02 9.313444458007811733e+00 -2.075195312500000000e+00 -5.187988281250000000e-01 2.563476562500000000e+00
1.757257938385009766e+00 3.064764705882353013e+01 3.806780639648437159e-01 -8.379705810546873856e-02 9.330203869628904911e+00 -2.349853515625000000e+00 -8.239746093750000000e-01 3.021240234375000000e+00
1.831074714660644531e+00 3.060058823529411853e+01 3.256114257812499635e-01 -7.422025146484374780e-02 9.215282189941405022e+00 -2.532958984375000000e+00 -1.068115234375000000e+00 2.624511718750000000e+00
1.911397933959960938e+00 3.055352941176470694e+01 4.501099121093749544e-01 -9.337386474609374321e-02 9.270348828124999940e+00 -2.075195312500000000e+00 -9.460449218750000000e-01 2.746582031250000000e+00
1.998081922531127930e+00 3.060058823529411853e+01 3.615244506835937344e-01 -4.548983154296874776e-02 9.236830004882811807e+00 -2.380371093750000000e+00 -1.220703125000000000e+00 2.807617187500000000e+00
2.080939531326293945e+00 3.060058823529411853e+01 3.878606689453124590e-01 -5.267243652343749777e-02 9.260772021484374505e+00 -1.953125000000000000e+00 -4.577636718750000000e-01 2.929687500000000000e+00
2.165301561355590820e+00 3.064764705882353013e+01 3.878606689453124590e-01 -4.070142822265624544e-02 9.224858996582030457e+00 -2.410888671875000000e+00 -7.019042968750000000e-01 3.051757812500000000e+00
2.241219282150268555e+00 3.060058823529411853e+01 3.974374755859374497e-01 -4.788403320312499545e-02 9.279925634765623599e+00 -2.838134765625000000e+00 -6.408691406250000000e-01 2.807617187500000000e+00
2.317801952362060547e+00 3.064764705882353013e+01 2.370259643554687434e-01 -9.576806640624999437e-03 9.303867651367186298e+00 -2.227783203125000000e+00 -8.544921875000000000e-01 3.356933593750000000e+00
2.392499923706054688e+00 3.064764705882353013e+01 3.878606689453124590e-01 -9.097966308593749551e-02 9.308656054687499903e+00 -2.593994140625000000e+00 -6.103515625000000000e-01 2.899169921875000000e+00
2.471091508865356445e+00 3.064764705882353013e+01 3.232172241210937158e-01 -7.422025146484374780e-02 9.301473449707030383e+00 -2.258300781250000000e+00 -2.136230468750000000e-01 2.655029296875000000e+00
2.542093276977539062e+00 3.069470588235294173e+01 3.830722656249999636e-01 -6.943184814453125242e-02 9.244012609863281327e+00 -2.044677734375000000e+00 -1.220703125000000000e-01 2.899169921875000000e+00
2.607929468154907227e+00 3.064764705882353013e+01 3.375824340820312575e-01 -4.548983154296874776e-02 9.136273535156249181e+00 -2.563476562500000000e+00 -1.312255859375000000e+00 2.868652343750000000e+00
2.679102420806884766e+00 3.083588235294117652e+01 3.902548706054687067e-01 -8.858546142578124782e-02 9.311050256347655818e+00 -2.227783203125000000e+00 -7.324218750000000000e-01 2.868652343750000000e+00
2.749886989593505859e+00 3.074176470588235333e+01 4.501099121093749544e-01 -5.267243652343749777e-02 9.330203869628904911e+00 -2.471923828125000000e+00 -1.281738281250000000e+00 2.655029296875000000e+00
2.817509651184082031e+00 3.074176470588235333e+01 3.687070556640624774e-01 -1.244984863281249909e-01 9.220070593261718628e+00 -1.861572265625000000e+00 -9.765625000000000000e-01 2.990722656250000000e+00
2.888127326965332031e+00 3.078882352941176492e+01 4.046200805664062483e-01 -7.661445312499999549e-02 9.258377819824218591e+00 -2.441406250000000000e+00 -4.882812500000000000e-01 3.021240234375000000e+00
2.961532115936279297e+00 3.083588235294117652e+01 3.423708374023437528e-01 -4.788403320312499545e-02 9.299079248046874469e+00 -2.349853515625000000e+00 -9.765625000000000000e-01 3.021240234375000000e+00
3.034538984298706055e+00 3.078882352941176492e+01 4.046200805664062483e-01 -3.351882324218749543e-02 9.311050256347655818e+00 -2.166748046875000000e+00 -6.713867187500000000e-01 2.807617187500000000e+00
3.102744102478027344e+00 3.074176470588235333e+01 3.471592407226562482e-01 -8.140285644531249087e-02 9.306261853027343989e+00 -2.197265625000000000e+00 -8.239746093750000000e-01 2.899169921875000000e+00
3.175690650939941406e+00 3.078882352941176492e+01 3.902548706054687067e-01 -1.125274780273437386e-01 9.074024291992186519e+00 -2.532958984375000000e+00 -7.934570312500000000e-01 3.021240234375000000e+00
3.254025697708129883e+00 3.083588235294117652e+01 3.591302490234374867e-01 -4.309562988281250007e-02 9.423577734374999793e+00 -2.075195312500000000e+00 -9.765625000000000000e-01 3.234863281250000000e+00
