# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
2.673196792602539062e-02 2.335352941176470765e+01 4.788403320312499718e-03 -6.047753393554686774e+00 7.175422375488280657e+00 -1.464843750000000000e+00 -1.129150390625000000e+00 3.051757812500000000e-01
1.422119140625000000e-01 2.344764705882353084e+01 8.379705810546873856e-02 -6.090849023437499454e+00 7.022193469238280805e+00 -2.105712890625000000e+00 -1.312255859375000000e+00 3.051757812500000000e-01
4.116675853729248047e-01 2.344764705882353084e+01 1.005564697265625002e-01 -6.007051965332030896e+00 7.050923889160156222e+00 -1.678466796875000000e+00 -1.464843750000000000e+00 4.882812500000000000e-01
5.050449371337890625e-01 2.335352941176470765e+01 7.661445312499999549e-02 -5.990292553710936829e+00 7.141903552246093412e+00 -1.953125000000000000e+00 -1.770019531250000000e+00 5.798339843750000000e-01
5.865695476531982422e-01 2.349470588235294244e+01 9.576806640624999090e-02 -6.095637426757812172e+00 7.062894897460936683e+00 -2.197265625000000000e+00 -1.617431640625000000e+00 5.798339843750000000e-01
6.675770282745361328e-01 2.340058823529411924e+01 1.508347045898437433e-01 -6.057330200195312209e+00 7.062894897460936683e+00 -2.349853515625000000e+00 -1.281738281250000000e+00 2.441406250000000000e-01
7.405998706817626953e-01 2.354176470588235404e+01 8.140285644531249087e-02 -5.992686755371093632e+00 7.053318090820312136e+00 -2.563476562500000000e+00 -2.014160156250000000e+00 3.051757812500000000e-01
8.282892704010009766e-01 2.358882352941176563e+01 1.292868896484374863e-01 -6.038176586914062227e+00 6.993463049316406277e+00 -1.800537109375000000e+00 -1.495361328125000000e+00 4.272460937500000000e-01
9.209618568420410156e-01 2.349470588235294244e+01 4.788403320312499718e-03 -6.011840368652343614e+00 7.053318090820312136e+00 -2.166748046875000000e+00 -1.647949218750000000e+00 4.272460937500000000e-01
1.005753517150878906e+00 2.354176470588235404e+01 1.077390747070312432e-01 -6.057330200195312209e+00 7.067683300781249400e+00 -2.166748046875000000e+00 -1.800537109375000000e+00 4.577636718750000000e-01
1.084283828735351562e+00 2.349470588235294244e+01 1.053448730468749955e-01 -6.047753393554686774e+00 7.139509350585937497e+00 -1.586914062500000000e+00 -1.251220703125000000e+00 1.831054687500000000e-01
1.162477970123291016e+00 2.349470588235294244e+01 5.267243652343749777e-02 -5.987898352050780915e+00 7.007828259277343541e+00 -2.319335937500000000e+00 -1.403808593750000000e+00 4.882812500000000000e-01
1.232004165649414062e+00 2.354176470588235404e+01 1.221042846679687432e-01 -5.918466503906249621e+00 7.086836914062499382e+00 -2.319335937500000000e+00 -1.678466796875000000e+00 3.051757812500000000e-01
1.302901983261108398e+00 2.349470588235294244e+01 9.576806640624999090e-02 -6.004657763671874982e+00 7.165845568847656111e+00 -2.380371093750000000e+00 -1.403808593750000000e+00 5.493164062500000000e-01
1.380496025085449219e+00 2.358882352941176563e+01 7.661445312499999549e-02 -6.052541796874999491e+00 7.086836914062499382e+00 -2.075195312500000000e+00 -1.617431640625000000e+00 5.493164062500000000e-01
1.451270818710327148e+00 2.358882352941176563e+01 6.464344482421874316e-02 -6.083666418457030822e+00 7.283161450195311915e+00 -2.380371093750000000e+00 -9.155273437500000000e-01 3.051757812500000000e-01
1.527544021606445312e+00 2.363588235294117723e+01 1.221042846679687432e-01 -6.078878015136718105e+00 7.134720947265624780e+00 -2.624511718750000000e+00 -1.403808593750000000e+00 4.272460937500000000e-01
1.603334665298461914e+00 2.363588235294117723e+01 1.149216796875000002e-01 -5.997475158691405461e+00 7.101202124023436646e+00 -2.075195312500000000e+00 -1.495361328125000000e+00 3.051757812500000000e-01
1.685280084609985352e+00 2.358882352941176563e+01 1.268926879882812386e-01 -6.054935998535156294e+00 7.091625317382812099e+00 -2.105712890625000000e+00 -1.373291015625000000e+00 5.798339843750000000e-01
1.760392189025878906e+00 2.349470588235294244e+01 1.053448730468749955e-01 -6.042964990234374945e+00 7.225700610351561970e+00 -2.258300781250000000e+00 -1.312255859375000000e+00 4.272460937500000000e-01
1.852104902267456055e+00 2.358882352941176563e+01 1.125274780273437386e-01 -6.021417175292968160e+00 7.149086157226562044e+00 -2.044677734375000000e+00 -1.281738281250000000e+00 6.408691406250000000e-01
1.937980890274047852e+00 2.358882352941176563e+01 1.197100830078124956e-01 -6.105214233398436718e+00 7.050923889160156222e+00 -2.532958984375000000e+00 -1.251220703125000000e+00 3.356933593750000000e-01
2.022002458572387695e+00 2.349470588235294244e+01 1.221042846679687432e-01 -6.050147595214843577e+00 7.194575988769530639e+00 -2.227783203125000000e+00 -1.312255859375000000e+00 6.103515625000000000e-01
2.115571498870849609e+00 2.349470588235294244e+01 7.182604980468750011e-02 -6.052541796874999491e+00 7.105990527343749363e+00 -1.892089843750000000e+00 -1.495361328125000000e+00 6.713867187500000000e-01
2.184698581695556641e+00 2.354176470588235404e+01 1.125274780273437386e-01 -6.081272216796874908e+00 7.141903552246093412e+00 -1.495361328125000000e+00 -1.220703125000000000e+00 2.746582031250000000e-01
2.256553649902343750e+00 2.354176470588235404e+01 1.915361328124999887e-02 -6.047753393554686774e+00 7.194575988769530639e+00 -1.251220703125000000e+00 -9.765625000000000000e-01 3.051757812500000000e-02
2.322690486907958984e+00 2.358882352941176563e+01 7.422025146484374780e-02 -6.030993981933593595e+00 7.127538342285156148e+00 -2.075195312500000000e+00 -1.220703125000000000e+00 5.493164062500000000e-01
2.397043704986572266e+00 2.349470588235294244e+01 1.675941162109374771e-02 -6.007051965332030896e+00 7.105990527343749363e+00 -1.159667968750000000e+00 -1.800537109375000000e+00 3.967285156250000000e-01
2.467870235443115234e+00 2.349470588235294244e+01 6.464344482421874316e-02 -6.107608435058593521e+00 7.129932543945312062e+00 -2.044677734375000000e+00 -1.007080078125000000e+00 2.746582031250000000e-01
2.541344642639160156e+00 2.344764705882353084e+01 9.097966308593749551e-02 -6.086060620117186737e+00 6.907271789550780916e+00 -2.502441406250000000e+00 -1.007080078125000000e+00 5.798339843750000000e-01
2.611119747161865234e+00 2.354176470588235404e+01 1.388636962890625048e-01 -6.062118603515624926e+00 7.079654309082030750e+00 -2.410888671875000000e+00 -1.342773437500000000e+00 1.525878906250000000e-01
2.689925909042358398e+00 2.349470588235294244e+01 1.173158813476562479e-01 -6.050147595214843577e+00 7.134720947265624780e+00 -3.021240234375000000e+00 -1.007080078125000000e+00 6.103515625000000000e-01
2.763098239898681641e+00 2.358882352941176563e+01 5.267243652343749777e-02 -6.021417175292968160e+00 7.139509350585937497e+00 -1.739501953125000000e+00 -1.556396484375000000e+00 5.187988281250000000e-01
2.830317020416259766e+00 2.363588235294117723e+01 1.101332763671874909e-01 -6.016628771972656331e+00 7.048529687499999419e+00 -2.044677734375000000e+00 -1.190185546875000000e+00 4.882812500000000000e-01
2.899469375610351562e+00 2.349470588235294244e+01 7.182604980468750011e-02 -6.071695410156249473e+00 7.120355737304687516e+00 -1.831054687500000000e+00 -1.525878906250000000e+00 5.493164062500000000e-01
2.971527338027954102e+00 2.349470588235294244e+01 1.364694946289062294e-01 -6.093243225097656257e+00 7.094019519042968014e+00 -1.892089843750000000e+00 -1.922607421875000000e+00 1.098632812500000000e+00
3.059402227401733398e+00 2.354176470588235404e+01 7.900865478515624318e-02 -6.062118603515624926e+00 7.108384729003906166e+00 -2.746582031250000000e+00 -1.800537109375000000e+00 7.324218750000000000e-01
3.135536670684814453e+00 2.358882352941176563e+01 1.101332763671874909e-01 -6.035782385253906313e+00 7.108384729003906166e+00 -2.197265625000000000e+00 -1.586914062500000000e+00 2.746582031250000000e-01
3.218897581100463867e+00 2.354176470588235404e+01 -1.412578979492187525e-01 -6.110002636718749436e+00 6.809109521484374206e+00 2.334594726562500000e+01 -2.349853515625000000e+00 9.155273437500000000e-01
3.299248218536376953e+00 2.358882352941176563e+01 1.244984863281249909e-01 -6.093243225097656257e+00 7.319074475097655963e+00 -6.683349609375000000e+00 -2.868652343750000000e+00 1.739501953125000000e+00
3.372889280319213867e+00 2.358882352941176563e+01 1.077390747070312432e-01 -6.054935998535156294e+00 7.070077502441406203e+00 -2.838134765625000000e+00 -1.373291015625000000e+00 3.967285156250000000e-01
3.472717761993408203e+00 2.358882352941176563e+01 1.005564697265625002e-01 -6.007051965332030896e+00 7.323862878417968680e+00 -5.920410156250000000e+00 -1.251220703125000000e+00 6.713867187500000000e-01
3.563534975051879883e+00 2.354176470588235404e+01 7.661445312499999549e-02 -6.385335827636718697e+00 5.453991381835937347e+00 9.451293945312500000e+01 -6.585693359375000000e+01 -7.263183593750000000e+01
3.639878988265991211e+00 2.363588235294117723e+01 1.369483349609375011e+00 -4.228160131835937641e+00 7.445967163085937202e+00 -3.131103515625000000e+01 -2.322387695312500000e+01 -1.889038085937500000e+01
3.716353893280029297e+00 2.363588235294117723e+01 4.692635253906249915e-01 -5.341463903808593372e+00 7.529764221191405760e+00 -1.695251464843750000e+02 9.039306640625000000e+01 8.926391601562500000e+01
3.789801120758056641e+00 2.349470588235294244e+01 2.274491577148437249e-01 -5.767631799316405683e+00 7.649474304199218366e+00 1.892089843750000000e+01 4.974365234375000000e+00 1.391601562500000000e+01
3.860735654830932617e+00 2.363588235294117723e+01 3.495534423828124959e-01 -6.071695410156249473e+00 7.225700610351561970e+00 6.103515625000000000e+01 -4.199218750000000000e+01 -4.928588867187500000e+01
3.937736034393310547e+00 2.349470588235294244e+01 9.433154541015624783e-01 -5.329492895507812023e+00 7.651868505859374281e+00 -1.807250976562500000e+02 7.608032226562500000e+01 9.521484375000000000e+01
4.024039506912231445e+00 2.354176470588235404e+01 1.077390747070312432e-01 -5.295974072265624777e+00 7.673416320800781065e+00 -3.356933593750000000e-01 1.708984375000000000e+00 2.276611328125000000e+01
4.116418838500976562e+00 2.358882352941176563e+01 1.795651245117187433e-01 -5.892130285644531007e+00 7.144297753906249326e+00 9.552001953125000000e+00 -4.028320312500000000e+00 3.540039062500000000e+00
4.187836885452270508e+00 2.363588235294117723e+01 9.576806640624999090e-02 -6.050147595214843577e+00 7.184999182128906092e+00 1.367187500000000000e+01 -9.307861328125000000e+00 -7.354736328125000000e+00
4.276036739349365234e+00 2.358882352941176563e+01 6.943184814453125242e-02 -6.019022973632812246e+00 6.387730029296874612e+00 1.187133789062500000e+01 -2.902221679687500000e+01 8.666992187500000000e+00
4.347995281219482422e+00 2.358882352941176563e+01 1.003170495605468782e+00 -3.813963244628906235e+00 9.794678991699218074e+00 -4.428100585937500000e+01 8.453369140625000000e+00 2.145385742187500000e+01
4.413489580154418945e+00 2.368294117647058883e+01 1.268926879882812386e-01 -6.299144567871093336e+00 6.435614062500000010e+00 -1.931762695312500000e+01 3.179931640625000000e+01 -9.948730468750000000e+00
4.485722780227661133e+00 2.297705882352941131e+01 -9.720458740234374506e-01 -9.490615380859374284e+00 2.164358300781249689e+00 4.342651367187500000e+01 1.589660644531250000e+02 -1.604309082031250000e+02
4.565969467163085938e+00 2.354176470588235404e+01 -5.051765502929687068e-01 -6.459556079101561821e+00 6.531382128906249918e+00 -1.199340820312500000e+01 1.477050781250000000e+01 3.323364257812500000e+01
4.631358385086059570e+00 2.297705882352941131e+01 -5.841852050781249917e-01 -9.277531433105467684e+00 8.178592871093750105e+00 3.433227539062500000e+01 1.145935058593750000e+02 -2.313232421875000000e+02
4.696429491043090820e+00 2.368294117647058883e+01 1.149216796875000002e-01 -6.349422802734374649e+00 5.173869787597656256e+00 -5.148315429687500000e+01 -8.145141601562500000e+01 -2.871704101562500000e+01
4.775414228439331055e+00 2.368294117647058883e+01 9.002198242187499089e-01 -6.698976245117187034e+00 7.017405065917968088e+00 -2.429199218750000000e+01 2.593994140625000000e+01 -1.250610351562500000e+02
4.869305610656738281e+00 2.363588235294117723e+01 8.236053710937499828e-01 -8.851363537597656261e+00 5.147533569335936754e+00 -5.819702148437500000e+01 4.669189453125000000e+01 -1.957092285156250000e+02
4.949475526809692383e+00 2.358882352941176563e+01 1.328781921386718690e+00 -9.339780676269530346e+00 4.843469958496093852e+00 -1.170654296875000000e+02 1.217346191406250000e+02 -1.476745605468750000e+02
5.017430543899536133e+00 2.363588235294117723e+01 2.700659472656250060e+00 -6.514622717285155851e+00 6.687005236816405684e+00 -7.409667968750000000e+01 2.044677734375000000e+01 -7.153320312500000000e+01
5.081239938735961914e+00 2.358882352941176563e+01 3.215412829589843646e+00 -7.290344055175780547e+00 6.129156249999999417e+00 -2.172851562500000000e+01 -5.657958984375000000e+01 -6.173706054687500000e+01
5.153860807418823242e+00 2.368294117647058883e+01 2.916137622070312130e+00 -6.550535742187499899e+00 5.006275671386718251e+00 3.103637695312500000e+01 7.446289062500000000e+00 -1.769104003906250000e+02
5.226986408233642578e+00 2.438882352941176634e+01 3.031059301757812463e+00 -7.812280017089843653e+00 5.291185668945312059e+00 -1.387939453125000000e+02 2.400817871093750000e+02 -2.078247070312500000e+02
5.295626878738403320e+00 2.368294117647058883e+01 4.027047192382812391e+00 -4.050989208984375090e+00 9.835380419921873951e+00 -9.735107421875000000e+01 6.753540039062500000e+01 9.552001953125000000e+00
5.361664772033691406e+00 2.363588235294117723e+01 3.581725683593749654e+00 -7.955932116699218071e+00 3.287238879394530855e+00 1.922607421875000000e+00 1.202697753906250000e+02 -5.697631835937500000e+01
5.431359529495239258e+00 2.363588235294117723e+01 3.541024255371093332e+00 -6.315903979492187403e+00 8.147468249511717886e+00 2.636718750000000000e+01 -5.157470703125000000e+00 -3.878784179687500000e+01
5.502917528152465820e+00 2.363588235294117723e+01 3.074154931640624699e+00 -7.431601953124999937e+00 6.112396838378906239e+00 -2.032470703125000000e+01 6.503295898437500000e+01 -3.552246093750000000e+01
5.591928243637084961e+00 2.368294117647058883e+01 2.377442248535156288e+00 -8.331821777343749957e+00 5.913678100585936903e+00 -1.618957519531250000e+02 8.981323242187500000e+01 8.850097656250000000e+01
