# time	Temp	AccX	AccY	AccZ	GyrX	GyrY	GyrZ
2.817034721374511719e-02 2.956529411764705984e+01 3.950432739257812020e-01 -8.379705810546873856e-02 9.095572106933593304e+00 -1.892089843750000000e+00 -7.751464843750000000e+00 1.525878906250000000e+00
1.487185955047607422e-01 2.900058823529411711e+01 3.950432739257812020e-01 -6.224924316406249547e-02 9.138667736816405096e+00 -2.258300781250000000e+00 -7.934570312500000000e-01 1.739501953125000000e+00
3.400912284851074219e-01 2.984764705882352942e+01 3.806780639648437159e-01 -9.097966308593749551e-02 9.239224206542967721e+00 -2.044677734375000000e+00 -9.460449218750000000e-01 1.403808593750000000e+00
4.468092918395996094e-01 2.975352941176470623e+01 3.327940307617187066e-01 -2.035071411132812480e-01 9.313444458007811733e+00 -1.953125000000000000e+00 -5.493164062500000000e-01 1.464843750000000000e+00
5.165793895721435547e-01 2.980058823529411782e+01 3.351882324218749543e-01 -1.268926879882812386e-01 9.126696728515623747e+00 -2.319335937500000000e+00 -9.460449218750000000e-01 1.434326171875000000e+00
5.951859951019287109e-01 2.984764705882352942e+01 4.548983154296874498e-01 -7.900865478515624318e-02 9.062053283691405170e+00 -2.319335937500000000e+00 -4.882812500000000000e-01 1.525878906250000000e+00
6.747801303863525391e-01 2.984764705882352942e+01 3.854664672851562113e-01 -1.077390747070312432e-01 9.157821350097655966e+00 -2.227783203125000000e+00 -1.037597656250000000e+00 1.495361328125000000e+00
7.516167163848876953e-01 2.984764705882352942e+01 3.351882324218749543e-01 -4.070142822265624544e-02 9.255983618164062676e+00 -2.166748046875000000e+00 -8.850097656250000000e-01 1.525878906250000000e+00
8.314247131347656250e-01 2.989470588235294102e+01 3.184288208007812204e-01 -1.005564697265625002e-01 9.279925634765623599e+00 -2.197265625000000000e+00 -1.220703125000000000e-01 1.312255859375000000e+00
9.164872169494628906e-01 2.989470588235294102e+01 2.322375610351562480e-01 -1.005564697265625002e-01 9.097966308593749218e+00 -2.410888671875000000e+00 -7.812500000000000000e+00 1.495361328125000000e+00
9.868555068969726562e-01 2.989470588235294102e+01 3.351882324218749543e-01 -7.661445312499999549e-02 9.174580761718749145e+00 -2.685546875000000000e+00 -4.272460937500000000e-01 1.861572265625000000e+00
1.067712783813476562e+00 2.998882352941176777e+01 3.926490722656249543e-01 -9.097966308593749551e-02 9.124302526855467832e+00 -2.319335937500000000e+00 -1.007080078125000000e+00 1.708984375000000000e+00
1.141143560409545898e+00 2.998882352941176777e+01 3.543418457031249913e-01 -8.619125976562500013e-02 9.133879333496093267e+00 -2.105712890625000000e+00 -5.187988281250000000e-01 1.739501953125000000e+00
1.216479539871215820e+00 2.994176470588235617e+01 3.615244506835937344e-01 -9.816226806640623859e-02 9.205705383300781364e+00 -2.410888671875000000e+00 -2.136230468750000000e-01 1.464843750000000000e+00
1.290424108505249023e+00 2.994176470588235617e+01 4.165910888671874868e-01 -8.619125976562500013e-02 9.179369165039062750e+00 -2.319335937500000000e+00 -6.713867187500000000e-01 1.190185546875000000e+00
1.363025426864624023e+00 3.003588235294117936e+01 3.591302490234374867e-01 -9.097966308593749551e-02 9.241618408203123636e+00 -2.075195312500000000e+00 -3.356933593750000000e-01 1.281738281250000000e+00
1.435399293899536133e+00 3.003588235294117936e+01 3.998316772460937529e-01 -6.943184814453125242e-02 9.282319836425781290e+00 -2.624511718750000000e+00 -5.187988281250000000e-01 1.403808593750000000e+00
1.515523195266723633e+00 3.008294117647059096e+01 3.327940307617187066e-01 -7.900865478515624318e-02 9.107543115234374653e+00 -2.044677734375000000e+00 -8.239746093750000000e-01 1.831054687500000000e+00
1.591858863830566406e+00 2.998882352941176777e+01 4.309562988281249729e-01 -6.703764648437499085e-02 9.090783703613281475e+00 -2.105712890625000000e+00 -3.051757812500000000e-01 1.617431640625000000e+00
1.666435003280639648e+00 2.994176470588235617e+01 3.734954589843749728e-01 -5.746083984375000009e-02 9.179369165039062750e+00 -1.953125000000000000e+00 -2.746582031250000000e-01 1.159667968750000000e+00
1.752476453781127930e+00 3.008294117647059096e+01 2.250549560546874772e-01 -5.267243652343749777e-02 9.100360510253905133e+00 -2.197265625000000000e+00 -2.136230468750000000e-01 1.556396484375000000e+00
1.840709447860717773e+00 3.003588235294117936e+01 3.519476440429687436e-01 -9.097966308593749551e-02 9.124302526855467832e+00 -2.716064453125000000e+00 -4.882812500000000000e-01 1.495361328125000000e+00
1.916817188262939453e+00 3.003588235294117936e+01 4.261678955078124775e-01 -3.830722656249999775e-02 9.344569079589843952e+00 -2.166748046875000000e+00 -1.342773437500000000e+00 1.434326171875000000e+00
2.003490924835205078e+00 3.003588235294117936e+01 3.758896606445312205e-01 -4.309562988281250007e-02 9.119514123535156003e+00 -2.410888671875000000e+00 -4.882812500000000000e-01 1.678466796875000000e+00
2.085469722747802734e+00 3.013000000000000256e+01 2.178723510742187341e-01 -8.379705810546873856e-02 9.162609753417967795e+00 -2.075195312500000000e+00 -3.356933593750000000e-01 1.647949218750000000e+00
