TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-1584	8696	-13664	-1720	-3408	305	-744
-1568	10448	-12056	-2472	-803	3894	-4930
-1584	12956	-8384	-1388	-2314	3161	-4229
-1552	16148	-6608	576	-2546	-2640	874
-1568	14264	-8544	212	-83	214	-938
-1552	16092	-7736	-652	-191	-163	497
-1568	12200	-9188	12744	-169	1879	-927
-1552	16344	-7240	728	-232	268	-533
-1568	14984	-8376	1388	-743	-1412	-169
-1568	15700	-7648	-504	123	-1276	-166
-1328	15600	-8088	-4	-193	-1365	-139
-1568	15192	-7764	-724	-13	-757	-29
-1552	14944	-7764	-884	-189	-531	-176
-1584	16312	-8152	-600	183	-486	206
-1584	15188	-7800	-768	-81	-113	-83
-1600	15260	-7696	-664	-214	413	172
-1600	15152	-8180	-376	-445	2913	313
-1584	14024	-8736	4112	-1542	5793	-465
-1584	11480	-10068	5384	-879	-275	-1651
-1552	13172	-9104	5772	-730	-3691	-1802
-1584	17196	-7712	2780	-2913	-3304	-47
-1584	17436	-8736	568	-3541	-1361	217
-1632	21936	-2732	-2240	-6559	2250	-904
-1600	21168	-636	-1748	-6463	2640	155
-1616	11964	-2176	-764	-7027	3239	-1098
-1648	13100	-352	-3448	-10537	1034	-1056
-1680	15432	-1124	-4352	-8155	1855	750
-1648	17772	-3412	-2596	-7512	2146	-325
-1664	22048	1452	-2208	-6996	-1405	656
-1664	16304	-96	-2608	-5314	-896	2011
-1696	13600	-2508	-3660	-3030	1152	2891
-1696	17408	-3212	-2096	-6663	107	946
-1664	18584	-4060	-3960	-4968	1281	2691
-1664	14496	-5200	-6404	-6363	3038	472
-1680	15668	-2904	-2356	-4704	1725	1533
-1712	16008	-5396	-4816	-2609	450	1296
-1696	15168	-6924	-4212	-1717	192	3022
-1680	14228	-9428	-4492	-211	-1790	4765
-1680	12816	-11096	-5556	191	-430	2890
-1728	14304	-9816	-6268	-328	-53	3840
-1712	10168	-12528	-7980	1154	694	4261
-1680	6968	-15288	-4136	147	659	4915
-1664	2636	-15668	-4100	2869	524	4641
-1728	416	-15192	-1708	411	3275	4057
-1712	652	-10984	-4444	1005	5134	-1158
-1744	-444	-17300	-1492	-489	-1735	-1548
-1712	3088	-19408	-148	1077	-800	-921
-1728	1104	-16912	-2876	-508	143	1510
-1728	2768	-16132	-2956	124	-168	1217
