

New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
0	0	8	100
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-4528	17400	-496	456	-158	-506	36
-4528	14016	48	-888	-925	-665	-358
-4512	17304	-1116	-2024	-883	1610	859
-4480	16840	-1408	-408	475	407	288
-4512	17340	-1696	-376	-121	-108	945
-4464	15648	-1288	4028	1574	-22	-4317
-4432	18224	1216	-804	542	-118	-1575
-4480	15776	932	-6048	-244	424	1778
-4464	17576	-1488	8	-254	138	177
-4432	17040	-856	228	-230	-186	151
-4464	17180	360	-124	58	-214	-47
-4432	15852	-16	-3396	94	-475	183
-4448	17300	216	384	-38	-83	-54
-4384	16976	-192	-456	-82	-115	65
-4416	17096	-72	-120	-24	-97	-53
-4416	17028	-260	416	-71	164	32
-4400	17256	-268	-200	-88	56	66
-4416	17340	-256	-344	-64	-28	-10
-4416	17228	-144	-432	-54	-29	54
-4384	17232	-348	52	-60	1	-31
-4368	17224	-384	-4	98	-105	20
-4400	17220	-344	-76	-66	-86	34
-4368	16976	-236	-108	-155	11	36
-4400	16904	-284	84	-124	-217	32
-4112	17308	-372	-284	-138	72	40
-4384	17028	-44	-312	-94	-21	36
-4384	16896	-360	-40	-65	-45	-256
-4128	17340	-8	72	-84	-9	80
-4368	17200	-36	-240	-79	-37	40
-4384	17148	-320	-184	-90	234	29
-4112	17116	-36	-200	-82	-18	45
-4368	17052	-320	-68	-80	-31	30
-4368	17204	-296	-40	-65	-48	1
-4368	17332	-304	196	-86	-92	29
-4592	17168	-88	-188	-72	-68	-7
-4368	16904	-468	104	-61	-79	12
-4592	17160	-344	-40	-68	-59	3
-4336	17300	-356	-312	-58	71	-47
-4592	17100	-288	16	-69	-97	17
-4592	17084	-4	-64	-69	-52	-12
-4336	17244	-92	-228	-128	-23	-5
-4336	17228	-144	-52	-81	-23	31
-4352	17208	-36	-216	-79	-18	29
-4304	17136	-284	-96	-89	-47	14
-4336	16988	-272	-72	-72	-38	16
-4320	16924	-44	-80	-76	-56	28
-4336	17140	-8	76	-61	-46	31
-4320	17100	-208	-176	-72	-79	6
-4304	17176	-212	92	-79	-22	248
-4336	16924	-504	4	-66	-27	23
-4320	17148	-280	-48	-85	-29	29
-4320	17256	-340	-156	-62	-52	21
-4304	17088	-492	-36	-68	-72	14
-4304	17140	-448	-176	-73	-56	9
-4304	17188	-288	60	-72	-51	20
-4304	17184	-296	-32	-65	-32	36
-4304	17384	-332	-56	-64	-41	41
-4320	17352	-236	-252	-74	-42	0
-4304	17208	-304	-40	-68	-31	15
-4288	17212	-512	-32	-65	-49	13
-4272	17164	-304	-256	-79	-45	31
-4304	17388	-148	-152	-72	-25	31
-4272	17176	-304	220	-77	-55	12
-4256	17168	-300	-136	-85	-54	22
-4288	17332	-508	-104	-62	-50	43
-4304	17160	-512	-200	-73	-53	26
-4304	17296	-312	-120	-75	-56	27
-4320	17388	-332	-88	-63	-28	21
-4256	17164	-348	-124	-71	-34	35
-4240	17356	-328	-120	-73	-27	15
-4256	17032	-264	88	-73	-24	-241
-4272	16948	-300	-92	-66	-52	29
-4272	17076	-312	-12	-80	-40	19
-4256	16972	-480	100	-59	-50	5
-4240	17080	-12	148	-76	-45	18
-4272	17204	-504	-220	-70	-62	14
-4256	17216	-500	-120	-61	-42	13
-4272	17376	-96	184	-79	-62	255
-4240	17396	-268	-148	-80	-41	0
-4272	17300	-12	-68	-61	-62	8
-4272	17176	-272	-256	-73	-41	12
-4240	17380	-504	-88	-69	-43	10
-4224	17168	-324	-60	-76	-42	34
-4224	16972	-188	-80	-86	-36	50
-4240	16916	-272	-96	-76	-22	30
-4208	17388	-364	-84	-74	-52	26
-4240	17104	-208	-76	-65	-45	12
-4224	17228	-500	-184	-61	-56	17
-4224	16952	-260	-96	-71	-55	-11
-4240	17152	-300	184	-69	-43	-243
-4240	16928	-412	680	-61	173	13
-4240	17260	-476	-412	-68	-43	-244
-4208	16904	-336	-204	-75	-84	14
-4224	17172	-424	60	-88	-40	46
-4224	17340	-56	-48	-66	-48	6
-4256	17176	-16	44	-72	-38	23
-4224	17172	-384	-152	-70	-30	34
-4240	17040	-332	-176	-139	-563	-159
-4208	17240	-48	-276	-70	-228	11
-4256	17016	-1396	-1196	1275	-477	48
-4192	16956	-448	-1424	512	-347	83
-4240	16892	-656	-704	-225	-315	110
-4240	18704	5368	3204	-6095	-3248	2942
-4208	16932	-628	764	112	-498	-614
-4176	17288	48	876	-1214	-117	-140
-4176	17484	-1024	-64	-808	63	-38
-4208	17184	284	632	-816	-62	178
-4192	17840	-2508	3308	1056	388	298
-4192	17044	-968	-124	87	-67	33
-4192	17092	-4	208	-1466	534	-140
-4224	17632	-2080	-2292	1979	-261	223
-4192	17324	-620	1344	956	311	180
-4176	18228	-1116	2036	577	222	229
-4208	18364	-1412	36	-262	2656	-1386
-4192	14208	-2032	2440	-774	1067	-419
-4208	13640	1416	5508	747	4183	3259
-4176	15124	1112	1960	2809	274	-96
-4192	18808	976	7152	892	3370	-4427
-4192	16040	3840	8932	5597	-2404	-4470
-4176	22840	9908	-816	1314	-4574	-17793
-4144	8304	3968	-2712	4347	-1600	2152
-4208	14868	7564	-844	8540	-230	-5841
-4160	5528	8164	-9368	7557	-1534	-5138
-4192	10200	4672	-13064	4923	-2834	-6446
-4208	6888	10180	-11204	-1515	-3085	-1638
-4080	3904	7796	-13472	-1241	1825	-4420
-4016	744	14204	-15416	1471	1490	-900
-4032	3320	9624	-12180	-518	-95	157
-4080	5736	10856	-11860	-3656	-2351	-391
-4080	3660	13132	-10124	-1517	-2747	388
-4048	2932	13192	-10276	-1031	-1892	1317
-4064	2968	13604	-9916	-598	-772	938
-4080	3496	13352	-10200	764	-228	215
-4048	3284	12896	-10720	95	104	133
-4048	3300	12992	-11204	337	-123	104
-4032	3048	12684	-10900	335	-101	436
-4080	3660	12204	-11976	108	57	723
-4048	4728	11744	-12144	-37	-607	865
-4048	4344	12464	-11392	-534	-1046	1359
-4048	5120	12028	-11900	-392	-1098	1002
-4032	4788	12216	-11564	-298	-1047	459
-4032	4148	11992	-11696	-291	-1040	418
-4048	3728	12200	-11132	-216	-749	125
-4048	3472	12328	-10836	-129	-192	77
-4016	3184	12332	-11768	76	-184	124
-4032	3484	12096	-11720	-137	-409	36
-4048	3268	11876	-11996	-126	-313	-235
-4000	3284	12228	-11740	30	211	148
-4032	3464	12036	-11724	-177	103	69
-4016	3776	12072	-11668	-192	-58	121
-4016	3880	12112	-11304	-209	289	250
-4000	3912	12292	-11468	44	72	-131
-4032	3900	11940	-11852	-63	104	-28
-4016	4028	12044	-11716	-38	510	-328
-3984	4060	12188	-11492	139	66	-83
-3984	3624	12088	-11568	-210	-156	45
-4000	3924	12044	-11592	-185	36	-125
-3952	3856	12396	-11316	-63	3	-122
-3984	3732	12496	-11036	4	68	-14
-3968	3396	12320	-11660	-53	116	-165
-3984	3928	12276	-11300	-49	37	11
-3984	3744	12036	-11732	-126	88	70
-3984	3916	12172	-11612	-44	56	12
-3952	3912	12336	-11124	75	-38	154
-3952	3636	12416	-11692	35	-227	204
-3968	4196	12452	-11396	78	-22	71
-3936	4116	12192	-11760	-59	-57	124
-3952	4240	11948	-12024	-14	-107	64
-3952	4168	12168	-11708	-10	-32	80
-3936	4204	12008	-11860	-143	-79	95
-3936	4120	11816	-11604	-88	-163	-11
-3920	4196	12068	-11596	-11	-246	-243
-3904	4596	12008	-11856	-120	-106	18
-3952	4160	12264	-11284	-34	-42	75
-3920	4248	11924	-11532	-92	79	-101
-3936	4440	12268	-11616	-10	9	-17
-3888	4084	12100	-11768	-212	-41	23
-3904	4172	11888	-11664	19	-124	252
-3904	3988	12088	-11648	15	51	-1
-3904	4072	12144	-11776	-76	47	-86
-3904	4156	11876	-11612	-55	-114	-44
-3888	3840	12152	-11300	-125	2	9
-3888	3632	12036	-12236	-12	-180	40
-3856	4152	12152	-11436	-83	-213	-27
-3888	3844	11840	-11608	-79	-93	23
-3888	3904	11848	-11720	-16	-12	-114
-3872	4336	11904	-11624	-52	-40	-140
-3904	3608	12052	-11688	-85	52	-36
-3856	3948	11984	-11992	-48	-81	-8
-3888	4088	12096	-11560	-144	-12	-58
-3840	3740	11940	-11888	-136	-20	-48
-3856	3844	12176	-11500	-106	247	-28
-3856	3592	12280	-11596	8	17	-15
-3824	3744	11936	-11924	-48	23	-114
-3856	3624	12248	-11628	125	-44	-13
-4096	3328	11900	-11860	-101	-81	-22
-3600	3440	12192	-11904	-155	-20	22
-3824	3716	11816	-11944	-208	-30	-62
-3840	3720	12208	-11452	-63	-66	-70
-3840	3364	11964	-11632	-436	-171	-12
-3808	3464	12236	-11556	-450	-56	-94
-3792	3360	12708	-11184	-1369	-37	-189
-3824	3492	13460	-9336	-785	95	-415
-3808	3656	13564	-9380	-1851	306	-392
-3824	3628	14360	-8016	-626	221	-557
-3824	3008	14472	-8712	-658	150	-455
-3776	3252	14608	-7560	-602	318	-629
-3760	1956	14836	-7548	21	1866	-1243
-3792	304	16156	-6320	-1128	3795	-1836
-3824	1016	15124	-6428	272	3268	-1734
-3792	224	15116	-6636	-409	2816	-795
-3792	644	16096	-4472	476	3145	-298
-3776	1080	14972	-6488	289	2197	-664
-3792	428	16196	-5628	-419	2581	-688
-3760	3516	15052	-4504	-1255	2732	747
-3808	3472	16256	-6156	-14	1322	-316
-3776	4268	14288	-6240	-366	1732	-246
-3760	3832	17240	-5792	-991	882	217
-3760	3600	14948	-4108	598	166	-894
-3776	2828	15816	-4912	-585	-161	629


New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
0	0	8	100
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-2896	18448	992	-1520	-808	-970	1677
-2896	18612	-544	-4648	-2145	6226	-2666
-2896	14456	352	3568	-4343	-5256	-2805
-2880	16692	4364	-5636	-3141	-2853	-3005
-2864	17076	2824	-2392	-1946	-523	-2345
-2848	16412	996	-172	-1253	1630	-1420
-2864	17024	1844	-432	-1027	-1214	-598
-2864	16092	2908	-1620	514	415	365
-2800	18144	544	-100	458	181	-118
-2832	17096	1472	-640	184	566	1391
-2768	21524	2156	1356	-301	2264	1760
-2816	15080	-1184	3988	1769	5169	3164
-2800	11896	-724	5644	5053	15004	-864
-2752	6976	3220	14676	3480	15800	-1394
-2720	-5184	2272	13052	1506	17283	-3626
-2704	-11060	400	8952	2503	14055	999
-2688	-17152	6092	676	2052	2401	-1920
-2736	-15928	2340	-1164	1	-883	-2167
-2736	-15192	3424	-1648	-147	694	149
-2736	-15484	2284	-3000	965	1561	-944
-2752	-16128	1780	-3372	10	1020	-146
-2720	-15936	2124	-3112	-152	15	-66
-2736	-16636	888	-1852	-1893	-2236	-2485
-2720	-15572	-416	1048	-2941	-3676	-2485
-2736	-14260	-5180	3396	-5884	-5813	-8641
-2736	-8828	-10380	4176	-6197	-9147	-8285
-2752	-4860	-14224	5656	-3834	-790	-2887
-2736	-2392	-16836	2396	-1565	590	-3013
-2688	-1600	-15080	-512	-3035	-1414	-880
-2720	-688	-16524	972	69	313	-159
-2720	-328	-16452	604	126	215	-64
-2736	-112	-16304	1028	912	-1641	-247
-2720	-520	-16724	772	660	-1651	715
-2736	-1416	-16144	3820	900	-8415	51
-2736	-1176	-16516	3728	683	-13582	340
-2704	460	-12992	3428	844	-10217	3554
-2704	384	-13252	5212	-3283	-17310	5151
-2672	2148	-17240	3068	-10426	-26036	-1080
-2688	-3024	-15400	-2572	-2480	-12073	334
-2688	-604	-16252	-6272	2189	1427	1054
-2704	488	-15512	-4672	-330	-96	-561
-2688	-1212	-16312	-5332	174	-458	-393
-2672	-1412	-15912	-5828	-1012	111	-94
-2720	-16	-14608	-6168	-5263	-2681	-631
-2736	-960	-14248	-7984	-5806	1139	1587
-2688	1788	-14704	-12660	-7881	9468	-542
