

New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
0	0	8	100
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-4000	17020	-3108	16908	100	-1277	6279
-3984	16864	-2800	828	-264	-148	400
-3952	17284	-1628	-1008	-3273	630	-1376
-3952	17264	-2360	-572	247	-3635	-9341
-3936	17368	-932	2372	47	-1559	-44
-3968	17656	-200	-1072	-45	-240	-82
-3888	15732	-1520	-1500	-25	-207	-58
-3904	17436	-68	-968	-111	188	247
-3888	17320	-148	-544	-63	-49	45
-3904	16976	-192	-844	-70	15	-6
-3872	17244	-68	-668	-66	-99	38
-3888	17164	-80	-588	-65	-37	32
-3872	17392	-132	-668	-66	-20	15
-3888	17320	-372	-412	-63	-235	6
-4096	17196	-144	-908	-69	-36	15
-4096	17372	-188	-816	-64	-36	17
-3632	17004	-160	-792	-73	-8	17
-3616	17376	-60	-628	-68	-253	8
-3888	16908	-52	-792	-67	-81	21
-3840	17308	-232	-612	-209	-185	18
-3840	18400	2108	-156	-715	-1	1863
-3840	20960	-1284	4216	1217	12368	368
-3840	-1388	1688	13132	3014	12898	151
-3600	-1904	584	15172	186	9830	-1175
-3600	-14016	160	9880	-603	9307	2702
-4080	-13564	1304	4728	1288	4968	141
-3840	-15948	120	2908	-677	1032	-609
-3824	-13356	-312	1520	-316	-1008	-2386
-3824	-14108	-2784	3036	182	-601	652
-3824	-14924	-744	3084	-1758	1299	2040
-3824	-15736	-368	2508	-366	-184	46
-3792	-15236	-284	1452	-135	895	-295
-3808	-15396	-1004	800	138	747	41
-3792	-15728	-372	144	769	19	151
-3792	-15828	-416	-68	-93	1022	311
-3792	-15652	-444	-328	-250	58	56
-3792	-15600	-8	-488	-102	348	-1
-3792	-16036	-164	-740	-65	-126	-124
-3776	-16068	-380	-996	-71	-6	23
-3792	-15976	-556	-776	-86	65	120
-3792	-15808	-488	-1232	-46	135	24
-3792	-15836	-16	-1216	-72	33	225
-3792	-15832	-456	-1468	-137	-169	-59
-3792	-15992	-388	-1288	-83	-316	70
-3776	-15788	-300	-1288	-82	-65	24
-3808	-15860	-360	-1336	-42	-18	255
-3776	-15864	-304	-1388	-68	217	2
-3744	-15652	-52	-1664	-66	81	42
-3744	-15828	-352	-1628	-84	-150	60
-3776	-15704	-72	-1676	-94	105	-13
-3760	-15772	-312	-1340	-71	-243	16
-3760	-15864	-504	-1672	-86	4	30
-3744	-15820	-220	-1684	-76	41	42
-3792	-15812	-348	-1656	-80	-98	48
-3744	-15848	-268	-1676	-71	70	36
-3744	-15728	-500	-1864	-67	-133	61
-3728	-15732	-412	-1640	-72	-7	71
-3760	-15780	-432	-1552	-97	414	-12
-3728	-15768	-184	-1804	-61	-23	106
-3744	-15780	-136	-2040	-79	4	30
-3728	-15744	-132	-1884	-107	209	18
-3728	-15760	-192	-2012	-66	-138	99
-3760	-16128	-140	-1784	-67	-87	-9
-3728	-15844	-176	-1696	-89	222	-17
-3760	-15864	-488	-1568	-63	-131	68
-3744	-15764	-76	-1704	-90	107	-11
-3744	-16024	-96	-1696	-61	-261	10
-3744	-15368	-424	-944	-29	-1402	-637
-3792	2956	-852	13632	-93	-5868	-725
-3760	6316	-980	13384	-615	-6644	131
-3744	11004	-13436	9992	776	-2316	-1568
-3744	13748	-1028	7076	1124	-2149	509
-3776	13804	-540	11192	-535	11631	694
-3744	5876	-64	14840	2431	1901	-638
-3744	4580	-1112	15876	433	1564	-529
-3776	2916	368	14652	-241	-912	85
-3744	3224	496	15140	-25	29	93
-3776	2672	376	15080	-54	-15	32
-3600	6100	200	14392	-72	319	-46
-3840	5152	44	14988	-104	48	74
-3824	5264	236	14796	-82	-36	41
-3792	5136	40	15004	-45	-169	132
-3792	5344	32	15944	-130	16	21
-3824	4396	-84	14944	-68	-43	-117
-3824	4724	-64	14912	-199	-82	-46
-3776	4664	-28	15056	-80	-237	-48
-3808	4516	-56	15024	-50	-116	-95
-3744	4856	-64	14840	-42	247	-36
-3744	4424	224	14764	-82	-115	88
-3792	4836	228	14844	-72	35	35
-3760	4848	-80	14868	-92	31	2
-3776	4940	-104	14820	-63	-160	53
-3728	5108	-92	14752	-104	80	-34
-3728	4740	132	14836	-67	-26	9
-3696	4828	-108	14736	-76	21	-254
-3680	5088	-96	14868	-80	3	4
-3712	4772	-144	15084	-75	-101	3
-3712	4692	156	14860	-48	-14	9
-3712	4744	-60	14872	-67	-122	10
-3728	4524	-24	14600	-66	-80	38
-3696	4752	-60	14660	-58	-54	-8
-3680	4660	-116	14912	-88	-41	12
-3680	5060	-64	14716	-75	-59	38
-3664	4696	-224	15060	-169	-42	44
-3680	4672	-128	14680	-66	-8	27
-3648	4712	-12	14900	-50	-62	27
-3680	4668	-24	14896	-105	34	21
-3680	4796	-120	15016	-44	82	-34
-3696	4568	-100	14904	-55	-40	49
-3680	4360	-60	14616	-81	-34	30
-3680	4540	-256	14768	-83	-24	35
-3664	4568	216	15020	-72	-79	39
-3664	4556	-56	15044	-60	-55	17
-3648	4524	-136	15076	-83	-84	40
-3616	4352	-144	14904	-62	-34	25
-3648	4600	-72	14600	-74	243	13
-3648	4840	-60	15084	-82	-17	29
-3648	4380	-28	14756	-74	-58	27
-3632	4400	244	14792	-74	-76	25
-3632	4492	200	14928	-100	-43	38
-3632	4564	-172	14832	-50	22	-11
-3648	4548	-92	14884	-81	65	21
-3616	4808	-28	14848	-78	-10	5
-3600	4548	-88	14680	-78	-245	-254
-3616	4376	-100	14812	-60	-25	23
-3600	4648	-52	14648	-89	38	-14
-3632	4428	-36	14860	-62	-24	-8
-3600	4448	-152	15008	-62	-38	28
-3616	4472	-256	15012	-68	-35	57
-3600	4408	-184	14912	-25	-178	113
-3648	4536	-40	14756	-82	-237	25
-3616	4144	-192	14736	-135	-675	124
-3600	4568	-60	15348	-64	-38	25
-3616	4440	-16	15088	-73	-28	33
-3632	4580	-68	14852	-77	-106	59
-3600	4496	188	14900	-71	-38	27
-3632	4840	156	14604	-79	-19	19
-3616	4700	-232	15000	-72	-6	12
-3616	4448	-224	14616	-72	-114	30
-3344	4512	-84	14768	-88	-43	24
-3600	4548	-68	15056	-54	-141	37
-3840	4856	-32	15072	-250	-260	63
-3824	5632	244	14420	1	-483	73
-3840	5304	96	14592	-65	-76	42
-3584	5136	72	14384	-80	11	-9
-3840	5336	-192	14636	-70	62	-30
-3600	5356	-224	14424	-110	-90	15
-3360	5220	136	14652	-60	-178	133
-3600	5408	104	14584	-48	-84	75
-3568	5820	-32	14236	-139	10	-101
-3600	5140	-228	15216	-136	-719	507
-3584	5588	200	14616	-14	-29	-18
-3824	5844	8	14604	-75	-400	212
-3568	5664	-48	14256	-154	521	177
-3568	5684	-100	15400	-113	231	-237
-3568	4148	-396	15360	90	126	240
-3568	5016	-88	14592	-159	34	-58
-3584	5076	248	14696	-51	57	-12
-3584	5004	-244	14732	-66	-75	-38
-3568	5556	96	14444	-181	-29	-80
-3568	5060	-36	14736	-48	251	-102
-3552	4788	-176	14848	-208	-243	-79
-3584	5348	236	14800	-75	-250	-24
-3568	5924	1588	16556	-328	-8196	2106
-3568	11236	-1996	9060	-20	-20627	1967
-3552	6416	4328	-12760	-15450	-32768	751
-3584	10164	-148	-11212	685	-8249	-219
-3568	7768	1240	-14696	-1694	839	3040
-3520	6052	-36	-16164	1252	-5638	103
-3552	2924	452	-18076	-1444	-520	1099
-3536	2176	-268	-16976	-77	-902	-93
-3552	1056	-596	-17892	7	-1287	58
-3568	752	-760	-17668	-69	-270	10
-3536	480	-260	-17500	-58	-309	26
-3552	412	-140	-17564	-64	-53	43
-3568	80	-592	-17664	-64	-228	2
-3552	468	-260	-17524	-62	-48	5
-3536	508	-508	-17628	-62	175	16
-3552	348	-288	-17876	-74	-248	12
-3568	228	-428	-17696	-55	23	18
-3520	44	-360	-17428	-67	-78	27
-3520	280	-412	-17528	-72	-18	32
-3536	204	-352	-17416	-71	246	13
-3552	468	-448	-17460	-62	-17	20
-3536	388	-388	-17424	-75	-255	18
-3520	148	-468	-17664	-82	-88	19
-3536	140	-364	-17632	-68	-81	19
-3536	168	-448	-17596	-70	-76	15
-3536	144	-400	-17708	-69	-17	15
-3520	116	-364	-17672	-59	6	23
-3536	184	-744	-17428	-94	-72	39
-3552	120	-280	-17700	-77	-55	16
-3536	236	-408	-17484	-50	40	14
-3520	156	-472	-17584	-72	-72	25
-3568	332	-416	-17548	-80	-50	30
-3536	164	-412	-17776	-75	-107	27
-3552	124	-464	-17752	-63	-11	17
-3504	96	-392	-17560	-74	-56	18
-3520	124	-264	-17884	-57	70	30
-3536	172	-420	-17424	-61	-40	51
-3552	96	-468	-17652	-78	-3	26
-3520	268	-424	-18136	-84	34	28
-3568	192	-300	-17416	-71	90	14
-3520	464	-444	-17456	-77	-33	22
-3536	196	-392	-17480	-66	-48	23
-3536	276	-492	-17684	-67	-70	42
-3520	36	-436	-17552	-71	-37	18
-3536	8	-724	-17464	-67	-20	12
-3536	252	-492	-17576	-97	-39	4
-3520	264	-488	-17496	-99	-51	25
-3536	64	-480	-17732	-63	-21	25
-3504	92	-416	-17920	-82	-73	14
-3520	120	-408	-17648	-80	-98	8
-3504	200	-372	-17164	-79	203	64
-3520	180	-472	-18236	-47	21	11
-3552	368	-740	-17628	-60	-69	30
-3520	600	-492	-17436	-63	-11	12
-3520	700	-420	-17876	-67	-49	26
-3520	380	-740	-17576	-57	-86	24
-3504	464	-288	-17596	-81	39	26
-3504	596	-460	-17624	-83	-18	20
-3504	684	-488	-17628	-50	-52	18
-3536	540	-760	-17208	-76	-103	15
-3536	540	-608	-17508	-61	39	10
-3536	552	-472	-17448	-72	79	39
-3536	568	-408	-17336	-67	347	114
-3504	860	-944	-17252	-127	-110	111
-3504	1048	-104	-17652	-224	-10	552
-3520	1336	-544	-17524	-415	953	182
-3536	2264	-488	-17284	-434	959	132
-3488	2640	-620	-16944	-212	691	237
-3488	3272	-64	-17776	8	787	-191
-3488	3476	-544	-17036	484	544	-126
